,,Eastern Cape,,Free State,,Gauteng,,KwaZulu-Natal,,Limpopo,,Mpumalanga,,North West,,,Northern Cape,,Western Cape,,Out of Country,,Total,
Party Name,Abbr,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes
ALL CITIZENS PARTY,ACP,263,0.00014540396317022658,385,0.0004630492696450156,808,0.0002012901001393336,410,0.00011657569971009614,594,0.00041533117417059625,279,0.00024172608016468565,360,0.0004027066360460473,,111,0.00027899541542668706,478,0.0002401124409388698,3,7.675775253300584e-05,3691,0.00022957774985442247
ALLIANCE OF CITIZENS FOR CHANGE,A.C.C.,1735,0.0009592238634994034,488,0.0005869299833422536,1370,0.0003412963331570384,1381,0.0003926610763405921,850,0.0005943291212878902,768,0.0006653965217436508,574,0.0006420933585845309,,186,0.00046750583125552964,1976,0.0009925987098226082,5,0.00012792958755500973,9333,0.0005805064046034475
ALLIED MOVEMENT FOR CHANGE,AM4C,1357,0.00075024022061596,1173,0.0014107968656976709,3956,0.0009855243021673313,6550,0.0018623678856125115,1565,0.001094264793900645,1563,0.0013541858899548517,1259,0.001408354596616593,,539,0.0013547615217566155,4071,0.0020449743662387843,24,0.0006140620202640467,22057,0.0013719307582061762
AZANIAN PEOPLE'S ORGANISATION,AZAPO,4366,0.002413816361981784,1315,0.0015815838690472611,4433,0.001104355215244636,2105,0.0005985167021701277,2849,0.0019920513724108226,1343,0.0011635775113303685,1177,0.00131662697396166,,521,0.0013095190219576931,915,0.00045962946330348507,24,0.0006140620202640467,19048,0.0011847729556291083
BUILD ONE SOUTH AFRICA WITH MMUSI MAIMANE,BOSA,4480,0.0024768431749148862,2676,0.003218493105376784,31477,0.007841594656046787,5019,0.0014270571630365183,4080,0.0028527797821818733,2637,0.0022847013383307385,3746,0.0041903862739680366,,909,0.0022847462398455725,10330,0.005189040826147542,565,0.014456043393716098,65919,0.00410011804190021
CITIZANS,CITIZANS,362,0.00020013777440160463,168,0.000202057863117825,639,0.00015918858166959676,851,0.00024196565964217516,268,0.00018738847588841716,245,0.00021226842164999277,196,0.0002192513907361813,,57,0.00014326791602992038,202,0.00010147011102437593,4,0.00010234367004400778,2992,0.0001861004138619431
CONGRESS  OF THE PEOPLE,COPE,1710,0.0009454021939965302,1263,0.0015190421495107915,3540,0.0008818897951649022,2004,0.0005697992737049577,1887,0.0013194106492591163,771,0.0006679957269067119,1059,0.0011846286877021223,,625,0.0015709201319070217,1283,0.0006444859031894769,31,0.0007931634428410603,14173,0.0008815511917330613
CONSERVATIVES IN ACTION,CIASA,459,0.00025376585207275283,650,0.0007817714942058705,1829,0.00045564306083519944,2583,0.0007344269081736057,242,0.000169208996884317,302,0.00026165331974815437,333,0.00037250363834259373,,242,0.0006082602750743988,780,0.0003918152801931348,4,0.00010234367004400778,7424,0.0004617678718285647
DEMOCRATIC ALLIANCE,DA,264470,0.14621667733699553,177155,0.21306881393237076,1070011,0.2665626501735006,481107,0.13679362234250053,86988,0.06082294306187176,136698,0.11843538246004372,120517,0.13481387682322632,,84436,0.21222753961232205,1056072,0.5304937776719542,29401,0.7522515607409682,3506855,0.21812405309285576
DEMOCRATIC LIBERAL CONGRESS,DLC,1451,0.0008022096979467633,611,0.0007348652045535182,2033,0.0005064638286921599,4233,0.0012035730167630169,551,0.00038526511274073827,400,0.00034656068840815144,646,0.0007226346857937404,,140,0.00035188610954717286,829,0.0004164293170257804,10,0.00025585917511001947,10904,0.0006782215617482044
ECONOMIC FREEDOM FIGHTERS,EFF,182088,0.10067040625756736,108821,0.13088177810919543,500269,0.12462771919134194,89908,0.02556362929154957,185441,0.12966233715382078,146711,0.12711066289262077,146580,0.16396871864341558,,51264,0.1288506394273305,117111,0.05882805035730539,1721,0.04403336403643435,1529914,0.0951596352183091
ECONOMIC LIBERATORS FORUM SOUTH AFRICA,ELF-SA,270,0.0001492740306310311,207,0.0002489641527701772,1358,0.00033830687622427605,531,0.00015097974767331964,1474,0.0010306366173862944,380,0.0003292326539877439,900,0.001006766590115118,,38,9.551194401994692e-05,247,0.00012407483872782602,1,2.5585917511001945e-05,5406,0.0003362496114096472
FORUM 4 SERVICE DELIVERY,F4SD,130,7.187268141494089e-05,963,0.0011582245368003897,1121,0.000279265101802219,1829,0.0005200413530969899,1216,0.0008502402488071465,649,0.0005622947169422257,4684,0.005239660786776904,,233,0.0005856390251749377,102,5.1237382794486854e-05,0,0,10927,0.0006796521464804319
FREE DEMOCRATS,FREE DEMS,151,8.348288379735442e-05,82,9.862348080750982e-05,499,0.00012431158412070232,399,0.00011344805898616673,85,5.9432912128789026e-05,84,7.27777445657118e-05,98,0.00010962569536809065,,31,7.791763854258828e-05,539,0.0002707544051591021,4,0.00010234367004400778,1972,0.0001226570909544625
GOOD,GOOD,1482,0.0008193485681303262,416,0.0005003337562917571,5010,0.0012480982694282937,1490,0.0004236531526049835,292,0.00020416953343066347,320,0.00027724855072652115,370,0.0004138929314917708,,1660,0.00417236387034505,18301,0.009193091593352,159,0.0040681608842493095,29500,0.0018348804174222332
INKATHA FREEDOM PARTY,IFP,1393,0.0007701434247000974,1500,0.0018040880635520088,33814,0.00842379139370226,572491,0.16277692415300646,756,0.0005286033125807588,5285,0.004578933095592701,1174,0.001313271085327943,,244,0.0006132872194965013,1470,0.0007384211049793694,81,0.0020724593183911576,618208,0.03845212722351742
NATIONAL COLOURED CONGRESS,CCC,317,0.00017525876929643279,77,9.260985392900312e-05,829,0.00020652164977166777,744,0.00021154224532758908,57,3.9855011662834995e-05,106,9.183858242816014e-05,70,7.830406812006475e-05,,71,0.00017845652698463766,35115,0.01763922251792555,37,0.0009466789479070719,37423,0.0023276857580065164
NATIONAL FREEDOM PARTY,NFP,190,0.00010504468822183669,135,0.0001623679257196808,1235,0.00030766494266346164,16991,0.004831067594571326,100,6.992107309269297e-05,385,0.0003335646625928458,106,0.00011857473172466947,,41,0.00010305236065310062,213,0.00010699571112966373,1,2.5585917511001945e-05,19397,0.001206480523957256
NORTHERN CAPE COMMUNITIES MOVEMENT,NCCM,56,3.096053968643608e-05,61,7.33662479177817e-05,296,7.373993767480538e-05,210,5.970950472956144e-05,44,3.0765272160784904e-05,55,4.765209465612082e-05,39,4.362655223832179e-05,,5425,0.013635586744952948,441,0.00022152633149381083,2,5.117183502200389e-05,6629,0.0004123193995624401
ORGANIC HUMANITY MOVEMENT,OHM,410,0.00022667537984712128,156,0.0001876251586094089,1559,0.0003883802798480459,852,0.00024224999061707783,124,8.670213063493928e-05,178,0.0001542195063416274,146,0.0001633199135075636,,86,0.00021615861015040618,1700,0.0008539563799081143,29,0.0007419916078190564,5240,0.00032592452160313563
PAN AFRICANIST CONGRESS OF AZANIA,PAC,8918,0.004930465945064945,1601,0.001925563326497844,11577,0.002884078575882506,3336,0.0009485281322753189,2658,0.001858502122803779,1326,0.001148848682073022,1192,0.0013334064171302454,,533,0.001339680688490308,5525,0.0027753582347013715,44,0.0011257803704840855,36710,0.0022833376313074636
PATRIOTIC ALLIANCE,PA,41935,0.023184468424119586,10958,0.013179464666935274,76148,0.01897009720966581,7609,0.0021634743880344426,2652,0.0018543068584182176,3351,0.002903312167139289,8194,0.009166050488225864,,33273,0.08363076087830773,145913,0.07329608074207805,383,0.009799406406713744,330416,0.020551655864507953
PEOPLE'S MOVEMENT FOR CHANGE,PMC,172,9.509308617976794e-05,60,7.216352254208036e-05,370,9.217492209350672e-05,405,0.00011515404483558277,69,4.824554043395815e-05,79,6.844573596060992e-05,85,9.508351128865005e-05,,141,0.0003543995817582241,4155,0.0020871698579518912,3,7.675775253300584e-05,5539,0.0003445221231220932
REFERENDUM PARTY,RP,134,7.408414853540062e-05,92,0.00011065073456452321,370,9.217492209350672e-05,328,9.326055976807691e-05,72,5.0343172626738935e-05,120,0.00010396820652244543,128,0.00014318458170526125,,39,9.802541623099815e-05,2506,0.0012588321694410203,45,0.0011513662879950874,3834,0.0002384722549287065
RISE MZANSI,RISE,4828,0.0026692408143948816,2022,0.002431910709668108,34509,0.008596930774391415,4262,0.0012118186150351946,1855,0.0012970359058694545,1730,0.001498874977365255,2633,0.002945351590859007,,545,0.001369842355022923,14203,0.007134554390491145,1383,0.03538532391771569,67970,0.004227688880413192
SIZWE UMMAH NATION,SUN,474,0.0002620588537744768,146,0.00017559790485239553,824,0.0002052760427163501,1478,0.00042024118090615146,175,0.00012236187791221268,515,0.000446196886325495,395,0.0004418586701060796,,117,0.00029407624869299447,889,0.0004465689539637139,3,7.675775253300584e-05,5016,0.00031199187029796343
SOUTH AFRICAN RAINBOW ALLIANCE,SARA,236,0.00013047656010712347,192,0.00023092327213465713,2105,0.0005244005702887342,467,0.00013278256527954853,680,0.0004754632970303122,286,0.0002477908922118283,333,0.00037250363834259373,,149,0.00037450735944663397,335,0.0001682796395701284,13,0.00033261692764302526,4796,0.00029830801633752644
SOUTH AFRICAN ROYAL KINGDOMS ORGANIZATION,SARKO,298,0.00016475430047424913,447,0.0005376182429384987,2520,0.0006277859558800999,1944,0.0005527394152107973,290,0.0002027711119688096,422,0.0003656215262705998,403,0.00045080770646265846,,140,0.00035188610954717286,220,0.00011051200210575597,2,5.117183502200389e-05,6686,0.000415864761724917
UMKHONTO WESIZWE,M.K.,29433,0.016272527939122733,18785,0.02259319618254966,427738,0.10655869412549292,1615345,0.45929261865415916,14364,0.010043462939034417,199000,0.17241394248305536,19661,0.021993375475837042,,3729,0.009372737875010053,15766,0.007919691932724312,470,0.012025381230170913,2344291,0.14581334402166726
UNITED AFRICANS TRANSFORMATION,UAT,556,0.00030739392974390105,1296,0.0015587320869089357,8659,0.002157142298399121,2589,0.0007361328940230218,11406,0.00797519759695256,5732,0.004966214664888811,4552,0.0050920016868933535,,457,0.0011486568004504141,422,0.0002119821131301319,9,0.0002302732575990175,35678,0.0022191479163657774
UNITED DEMOCRATIC MOVEMENT,UDM,53701,0.029689498958951854,1092,0.0013133761102658624,9524,0.002372632318969076,2302,0.0006545299042259544,962,0.0006726407231517063,1032,0.0008941265760930308,2370,0.0026511520206364777,,197,0.0004951540255770932,7156,0.0035946540321308623,108,0.00276327909118821,78444,0.004879164727602361
UNITED INDEPENDENT MOVEMENT,UIM,1612,0.000891221249545267,1039,0.0012496316653536914,6683,0.0016648783901375822,2432,0.0006914929309633019,749,0.0005237088374642704,1420,0.0012302904438489376,928,0.0010380882173631441,,360,0.0009048499959784445,4694,0.002357924263110993,87,0.002225974823457169,20004,0.0012442355210208254
VRYHEIDSFRONT PLUS,VF PLUS,10565,0.005841037531914235,20741,0.02494572701742148,88571,0.022064932499308066,7569,0.002152101149038336,13652,0.009545624898614444,15475,0.01340756663279036,19434,0.02173944656921912,,6855,0.017229852006756214,35007,0.01758497117143727,1183,0.0302681404155153,219052,0.013624888989734745
XILUVA,XILUVA,197,0.0001089147556826412,118,0.00014192159433275804,993,0.000247377561186087,473,0.00013448855112896456,184,0.00012865477449055507,177,0.00015335310462060703,121,0.00013535417489325476,,89,0.00022369902678355988,232,0.00011653992949334266,7,0.00017910142257701362,2591,0.0001611584800522375
