,,Eastern Cape,,Free State,,Gauteng,,KwaZulu-Natal,,Limpopo,,Mpumalanga,,North West,,,Northern Cape,,Western Cape,,Out of Country,,Total,
Party Name,Abbr,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes,,Votes,% Votes,Votes,% Votes,Votes,% Votes,Votes,% Votes
AFRICAN CHRISTIAN DEMOCRATIC PARTY,ACDP,8016,0.003572993411624798,5128,0.004957765215785571,30761,0.0066985045791587905,15406,0.003975913284520907,6306,0.0041400527452961555,5173,0.0037339207900638585,5311,0.00471380351844472,,2436,0.005586323139898868,25318,0.011677252511015167,184,0.010147804985660711,104039,0.0056535262578768525
AFRICAN INDEPENDENT CONGRESS,AIC,17514,0.007806562700997595,7972,0.007707352632652607,19943,0.0043427806905550455,19309,0.0049831825010264955,6611,0.00434029316510512,7072,0.005104637121077055,8421,0.007474098932182826,,3805,0.008725763360966829,6987,0.0032225674735154026,8,0.00044120891242003087,97642,0.005305910388139175
AFRICAN NATIONAL CONGRESS,ANC,1587338,0.7075284700625853,721126,0.6971867002727351,2522012,0.5491924492277045,2530827,0.6531447935949756,1202905,0.7897383678370555,1091642,0.7879576182305994,763804,0.6779179029565338,,278540,0.6387579833281736,737219,0.3400226091681053,1508,0.08316787999117582,11436921,0.6214874535776314
AFRICAN PEOPLE'S CONVENTION,APC,4538,0.002022735042658849,2093,0.0020235184470825274,5844,0.001272587391846948,4390,0.0011329520523852253,4044,0.0026549910088768877,4269,0.0030814049589759545,3321,0.002947569475570498,,681,0.0015616937841835506,1491,0.0006876839992860262,5,0.0002757555702625193,30676,0.001666947697369547
AGANG SOUTH AFRICA,AGANG SA,2501,0.0011147775102886253,2058,0.001989680345960746,22404,0.004878687188045692,3413,0.0008808121537108825,4841,0.003178242204246541,1738,0.0012545049938393555,4690,0.004162631990492513,,450,0.0010319562450552097,9927,0.004578564091825877,328,0.018089565409221266,52350,0.0028447226482362694
AL JAMA-AH,NO_ABBR,740,0.0003298422061629679,208,0.00020109500095230086,7509,0.0016351572083125826,4288,0.001106628337272858,362,0.00023766239990440983,596,0.00043019849040751203,667,0.0005919990485412593,,219,0.0005022187059268687,11376,0.005246876710850325,11,0.0006066622545775424,25976,0.0014115475742232154
AZANIAN PEOPLE'S ORGANISATION,AZAPO,2323,0.0010354370877251006,1405,0.0013583580593172244,5277,0.0011491176705640564,2967,0.0007657104190038641,3692,0.0024238938686383456,1156,0.000834411837099134,1708,0.0015159435905674227,,936,0.002146468989714836,951,0.00043862339592287794,6,0.00033090668431502316,20421,0.0011096863648449448
BUSHBUCKRIDGE RESIDENTS ASSOCIATION,BRA,382,0.0001702698956138564,131,0.0001266511784843818,1043,0.00022712331445865278,462,0.00011923094492072303,490,0.00032169772362751606,12208,0.00881185095787736,213,0.00018904917142322075,,103,0.00023620331831263687,235,0.00010838748479692567,4,0.00022060445621001543,15271,0.000829833038418645
CONGRESS  OF THE PEOPLE,COPE,26580,0.011847575459204982,14613,0.014127890619788329,23203,0.005052677148019291,5553,0.0014330940197938853,12478,0.008192131011069685,3931,0.0028374333318656538,8540,0.007579717952837114,,14452,0.03314184811897309,13833,0.00638010245615265,52,0.002867857930730201,123235,0.006696645569348551
DEMOCRATIC ALLIANCE,DA,356050,0.15870313176260098,167972,0.16239581490365326,1309862,0.28523509005123665,517461,0.13354407789961528,100562,0.0660215642518985,139158,0.10044557303377274,141902,0.12594580057886323,,101882,0.2336394803526997,1241424,0.5725737230916539,15311,0.8444187072578866,4091584,0.22233852286458736
ECONOMIC FREEDOM FIGHTERS,EFF,84783,0.037790556439344467,81559,0.07885147683975338,471074,0.10258090914218158,76384,0.019712849560226207,156488,0.10273843545923006,85203,0.06150033888958263,141150,0.12527835937271178,,22083,0.05064153279900932,50280,0.02319030951314648,255,0.014063534083388484,1169259,0.06353806225318227
FIRST NATION LIBERATION ALLIANCE,FINLA,344,0.00015333205259467696,120,0.00011601634670325048,808,0.000175949796819359,667,0.00017213645078381442,207,0.00013590087508346085,165,0.00011909857536449577,234,0.00020768782212691856,,128,0.00029353422081570407,623,0.00028734214054674335,1,5.515111405250386e-05,3297,0.00017916046936456505
FRONT NASIONAAL/FRONT NATIONAL,FN,355,0.0001582351124160184,353,0.0003412814198853952,1728,0.0003762886743859559,769,0.00019846016589618185,336,0.00022059272477315388,428,0.0003089344864000254,414,0.0003674476853014713,,164,0.00037609072042012084,573,0.00026428097356867407,18,0.0009927200529450694,5138,0.0002792012410055005
INDEPENDENT CIVIC ORGANISATION OF SOUTH AFRICA,ICOSA,395,0.0001760644208572599,226,0.00021849745295778842,669,0.00014568120553484057,1082,0.00027923784070177994,175,0.0001148920441526843,144,0.00010394057486355995,224,0.00019881227417277675,,431,0.0009883847591528785,11124,0.005130648429280856,2,0.00011030222810500772,14472,0.0007864150174837686
INKATHA FREEDOM PARTY,IFP,1291,0.0005754409299410697,1177,0.0011379270005810486,37785,0.008228048357449851,393949,0.1016686396549219,844,0.0005541079157992318,4143,0.002990456955970339,1326,0.0011768976587192051,,200,0.0004586472200245376,1127,0.0005197987036856818,12,0.0006618133686300463,441854,0.024010545960148778
KEEP IT STRAIGHT AND SIMPLE,KISS,384,0.00017116136103591847,203,0.00019626098650633208,1184,0.00025782742504222903,1404,0.0003623381962525869,201,0.00013196171928394026,201,0.00014508371908038576,226,0.0002005873837636051,,65,0.00014906034650797472,421,0.00019417502595534344,5,0.0002757555702625193,4294,0.00023333789974262732
KINGDOM GOVERNANCE MOVEMENT,KGM,3576,0.0015939401746469907,111,0.0001073151207005067,699,0.00015221399502070786,922,0.00023794573856473298,193,0.00012670951155124613,125,9.022619345795135e-05,206,0.00018283628785532147,,51,0.00011695504110625709,524,0.00024168102993016617,1,5.515111405250386e-05,6408,0.00034821361470674335
MINORITY FRONT,MF,317,0.00014129726939683896,152,0.00014695403915745061,2144,0.0004668766885899823,18924,0.004883823380259227,176,0.00011554857011927107,187,0.00013497838541309522,221,0.0001961496097865342,,67,0.0001536468187082201,398,0.00018356688914543157,3,0.00016545334215751158,22589,0.0012274964642026568
NATIONAL FREEDOM PARTY,NFP,3559,0.0015863627185594632,1039,0.0010045082018723104,22403,0.004878469428396163,249118,0.06429128687610537,596,0.0003912894760857134,9312,0.006721490507843543,1519,0.0013481957342341422,,141,0.000323346290117299,1048,0.00048336205986033233,7,0.000386057798367527,288742,0.015690370714365555
PAN AFRICANIST CONGRESS OF AZANIA,PAC,9649,0.0043008749287384825,1989,0.0019229709466063768,11077,0.0024121236378317323,2723,0.0007027399632448676,3949,0.0025926210420511445,2640,0.0019055772058319323,1297,0.001151158569652194,,451,0.0010342494811553323,3963,0.001827828094681772,46,0.0025369512464151777,37784,0.002053199628289574
PAN AFRICANIST MOVEMENT,PAM,845,0.00037664414082122684,187,0.000180792140279232,681,0.00014829432132918747,826,0.00021317047728250483,264,0.00017332285517890662,277,0.00019994124470282018,305,0.00027070421260132546,,128,0.00029353422081570407,302,0.0001392894485475385,0,0,3815,0.0002073088233623948
PATRIOTIC ALLIANCE,PA,544,0.0002424785948008845,543,0.0005249739688322084,1482,0.0003227198006018441,1004,0.0002591079409099695,365,0.00023963197780417012,330,0.00023819715072899154,408,0.0003621223565289862,,591,0.0013553025351725086,7996,0.003687941823132841,0,0,13263,0.0007207174113382547
